TABNAME,LANGUAGE,TEXT
FIAA_ANLA,D,Anl. Stamm 
FIAA_ANLA,E,assets master 
FIAA_ANLB,D,Anl. Abschreibungsparameter 
FIAA_ANLB,E,asset depreciation parameters 
FIAA_ANLC_1,D,Anlagenwertfelder 
FIAA_ANLC_1,E,Asset value fields 
FIAA_ANLC_2,D,Anl. Wertfelder 
FIAA_ANLC_2,E,asset value fields 
FIAA_ANLT,D,Text: Anlagen 
FIAA_ANLT,E,Text: Assets 
FIAA_ANLZ,D,Anl. Valutierte Zuordnungen 
FIAA_ANLZ,E,asset valued assignments 
FIAA_AS03,D,Anlagen-Stammdaten [AS03/ S_ALR_87010139]
FIAA_AS03,E,Assets master data [AS03 / S_ALR_87010139]
FIAA_AW01N,D,Anlagen Stamm- und Bewegungsdaten [AW01N/ S_ALR_87010139]
FIAA_AW01N,E,Assets master- and transaction data [AW01N / S_ALR_87010139]
FIAA_OAV9,D,Sicht Anlagengittergruppe und -bezeichnung [OAV9]
FIAA_OAV9,E,Asset History Sheet Group and Name [OAV9]
FIAA_OITA,D,Investitionsprofil anzeigen [OITA]
FIAA_OITA,E,Investment profil display [OITA]
FIAA_S_ALR_87011963,D,Anlagenbestand [S_ALR_87011963]
FIAA_S_ALR_87011963,E,Assets master- and transaction data [S_ALR_87011963]
FIAA_S_ALR_87012011,D,Anlagen Zuschreibungen [S_ALR_87012011]
FIAA_S_ALR_87012011,E,Asset Write-Up [S_ALR_87012011]
FIAA_S_ALR_87012037,D,Anlagenstamm Aenderungsbelege [S_ALR_87012037]
FIAA_S_ALR_87012037,E,Asset Account Changes [S_ALR_87012037]
FIAA_S_ALR_87012039,D,Anlagenbewegungen per Kostenbereich [S_ALR_87012039/ S_ALR_87012048]
FIAA_S_ALR_87012039,E,Asset Transactions per Costcenter [S_ALR_87012039 / S_ALR_87012048]
FIAA_S_ALR_87012048,D,Anlagenbewegungen [S_ALR_87012048]
FIAA_S_ALR_87012048,E,Asset transactions [S_ALR_87012048]
FIAA_S_ALR_87012050,D,Anlagen Zukaeufe [S_ALR_87012050]
FIAA_S_ALR_87012050,E,Asset acquisitions [S_ALR_87012050]
FIAA_S_ALR_87012050_1,D,Anlagenzugaenge [S_ALR_87012050]
FIAA_S_ALR_87012050_1,E,Asset acquisitions [S_ALR_87012050]
FIAA_S_ALR_87012052,D,Anlagenabgaenge [S_ALR_87012052/ AR06]
FIAA_S_ALR_87012052,E,Asset retirements [S_ALR_87012052 / AR06]
FIAA_S_ALR_87012054,D,Anlagenumbuchungen [S_ALR_87012054]
FIAA_S_ALR_87012054,E,Asset transfers [S_ALR_87012054]
FIAA_S_ALR_87012056,D,Verzeichniss unbebuchter Anlagen [S_ALR_87012056]
FIAA_S_ALR_87012056,E,Directory of unposted Assets [S_ALR_87012056]
FIAA_S_ALR_87012058,D,Herkunftsnachweis von Anlagenbelastungen/ Abgangserloesanalyse [S_ALR_87012058/ S_ALR_87012066]
FIAA_S_ALR_87012058,E,List of Origins of Asset Charges / Analysis of Retirement Revenue [S_ALR_87012058 / S_ALR_87012066]
FIAA_S_ALR_87012930,D,Herkunftsnachweis Anlagenbelastungen [S_ALR_87012930]
FIAA_S_ALR_87012930,E,Guarantee of origin Asset encumbrances [S_ALR_87012930]
FIAA_S_ALR_87101171,D,Anlagenklasse Aenderungsbelege [S_ALR_87101171]
FIAA_S_ALR_87101171,E,Asset Class Changes [S_ALR_87101171]
FIAA_S_P99_41000192,D,Gebuchte Abschreibungen pro Anlage und Periode [S_P99_41000192/ S_ALR_87010175]
FIAA_S_P99_41000192,E,Booked Depriciation per Assest and Periode [S_P99_41000192 / S_ALR_87010175]
FIAP0001,D,Kreditor Sonder-Hauptbuch-Salden 
FIAP0001,E,Vend. special general ledger balances 
FIAP_FBL1N_1,D,Kreditor offene Posten [XK03/ FBL1N/ S_ALR_87012083/ S_ALR_87101124]
FIAP_FBL1N_1,E,Vend. open items [XK03 / FBL1N / S_ALR_87012083 / S_ALR_87101124]
FIAP_FBL1N_2,D,Kreditor ausgeglichene Posten [FBL1N]
FIAP_FBL1N_2,E,Vendor cleared items [FBL1N]
FIAP_FBL1N_3,D,Kreditor Einzelposten [S_ALR_87012103/ FBL1N/ S_ALR_87101124/ S_ALR_87101124]
FIAP_FBL1N_3,E,Vend. line items [S_ALR_87012103 / FBL1N / S_ALR_87101124 / S_ALR_87101124]
FIAP_FK04,D,Kreditoren-Stammdaten Aenderungen [FK04/ S_ALR_87101123]
FIAP_FK04,E,Vendor-Masterdata Changes [FK04 / S_ALR_87101123]
FIAP_FK10N,D,Kreditor Salden [FK10N/ S_ALR_87012082/ S_ALR_87010032/ S_ALR_87101142/ S_ALR_87101143]
FIAP_FK10N,E,Vend. balances [FK10N / S_ALR_87012082 / S_ALR_87010032 / S_ALR_87101142 / S_ALR_87101143]
FIAP_MKVZ,D,Text: Einkaufsbelegart [MKVZ ]
FIAP_MKVZ,E,Text: Purchasing document types [MKVZ ]
FIAP_S_ALR_87012093_1,D,Kred. Umsaetze [S_ALR_87012093]
FIAP_S_ALR_87012093_1,E,vend. revenues [S_ALR_87012093]
FIAP_S_ALR_87012093_2,D,Kreditoren Umsaetze [S_ALR_87012093]
FIAP_S_ALR_87012093_2,E,vend. revenues [S_ALR_87012093]
FIAP_T052U,D,Text: Zahlungsbedingungen 
FIAP_T052U,E,Text: Payment Conditions 
FIAP_TINCT,D,Text: Debitor Incoterms 
FIAP_TINCT,E,Text: Customers incoterms 
FIAP_XK03_1,D,Kreditor-Lieferanten-Stamm [ FK03/ XK03/ S_ALR_87012086/ S_ALR_87101118/ S_ALR_87010036/ S_ALR_87101119/ S_ALR_87101120]
FIAP_XK03_1,E,Vendor master [ FK03 / XK03 / S_ALR_87012086 / S_ALR_87101118 / S_ALR_87010036 / S_ALR_87101119 / S_ALR_87101120]
FIAP_XK03_10,D,Kred. Umsaetze [XK03/ S_ALR_87012093 ]
FIAP_XK03_10,E,Vend. revenues [XK03 / S_ALR_87012093 ]
FIAP_XK03_2,D,Kred. Buchungskreise [XK03]
FIAP_XK03_2,E,Vendor master (company code) [XK03]
FIAP_XK03_3,D,Kreditor EG-Steuernummern [XK03]
FIAP_XK03_3,E,Vendor master (VAT registration numbers general section) [XK03]
FIAP_XK03_4,D,Kreditor Mahndaten [XK03]
FIAP_XK03_4,E,Vendor master (dunning data) [XK03]
FIAP_XK03_5,D,Kreditor Bankverbindungen [XK03]
FIAP_XK03_5,E,Vendor master (bank details) [XK03]
FIAP_XK03_6,D,Bankenstamm [XK03]
FIAP_XK03_6,E,Bank master record [XK03]
FIAP_XK03_7,D,Organisationsdaten [XK03]
FIAP_XK03_7,E,Vendor master record purchasing organization data [XK03]
FIAP_XK03_8,D,Kred. Einkaufsdaten [XK03]
FIAP_XK03_8,E,Vendor Master Record: Purchasing Data [XK03]
FIAP_XK03_9,D,Quellensteuertypen [XK03]
FIAP_XK03_9,E,Withholding tax types [XK03]
FIAR0001,D,Deb. Umsaetze 
FIAR0001,E,Cust. revenues 
FIAR0002,D,Debitor Mahnliste 
FIAR0002,E,Cust. dunning list 
FIAR0003,D,Fakturapositionen 
FIAR0003,E,Invoice item 
FIAR_FBL5N,D,Debitor offene Posten [FBL5N/ S_ALR_87012173/ S_ALR_87101067]
FIAR_FBL5N,E,Cust. open items [FBL5N / S_ALR_87012173 / S_ALR_87101067]
FIAR_FBL5N_1,D,Debitoren ausgeglichene Posten [FBL5N]
FIAR_FBL5N_1,E,Customer: Cleared items [FBL5N]
FIAR_FD04,D,Debitoren-Stammdaten Aenderungen [FD04/ S_ALR_87101066]
FIAR_FD04,E,Debitor- Masteradata Change [FD04 / S_ALR_87101066]
FIAR_S_AL0_96000490,D,Faktura [S_AL0_96000490]
FIAR_S_AL0_96000490,E,Billing document: Header data [S_AL0_96000490]
FIAR_XD03_10,D,Debitor Steuerindikatoren [XD03]
FIAR_XD03_10,E,Customer master tax indicator [XD03]
FIAR_XD03_11,D,Debitor Partnerollen [XD03]
FIAR_XD03_11,E,Customer Master Partner Functions [XD03]
FIAR_XD03_12,D,Debitor Vertriebsdaten [XD03]
FIAR_XD03_12,E,Customer Master Sales Data [XD03]
FIAR_XD03_13,D,Debitor-Kunden-Stammdaten Vetriebsbereiche [XD03]
FIAR_XD03_13,E,Cust. master data [XD03]
FIAR_XD03_3,D,Debitor Mahndaten [XD03]
FIAR_XD03_3,E,Cust. dunning data [XD03]
FIAR_XD03_4,D,Debitor Bankdaten [XD03]
FIAR_XD03_4,E,Cust. bank data [XD03]
FIAR_XD03_5,D,Debitor Kreditmanagement: Zentraldaten [XD03/ FDK43]
FIAR_XD03_5,E,Credit management: Central data [XD03 / FDK43]
FIAR_XD03_6,D,Debitor Quellensteuertypen [XD03]
FIAR_XD03_6,E,Cust. withholding tax types [XD03]
FIAR_XD03_7,D,Debitor EG-Steuernummern [XD03]
FIAR_XD03_7,E,Cust. EG tax numbers [XD03]
FIAR_XD03_8,D,Debitor Kreditmanagement [XD03/ S_ALR_87012218]
FIAR_XD03_8,E,Cust. credit management [XD03 / S_ALR_87012218]
FIAR_XD03_9,D,Debitor Zahlungskarten [XD03]
FIAR_XD03_9,E,Cust. payment cards [XD03]
FICA0001,D,Hauptbuchhaltung Ledger [SM30_V_FAGL_T881]
FICA0001,E,General Accounting Ledger [SM30_V_FAGL_T881]
FICA0002,D,Hauptbuchhaltung nicht fuehrendes Ledger [SM30_V_FAGL_T882G]
FICA0002,E,General Accounting non-leading Ledger [SM30_V_FAGL_T882G]
FICA0003,D,Ledgergruppe anzeigen 
FICA0003,E,Display Ledger Group 
FICA0004,D,Alle Belege zu Deb. Kred. Hauptbuch 
FICA0004,E,All documents for cust. vend. general ledger 
FICA0005,D,Belegsegment 
FICA0005,E,document segment 
FICA0006,D,Sachkonto-Text 
FICA0006,E,G/L account text 
FICA0007,D,Buchungskreis zusaetzliche Hauswaehrungen [SM30_V_T001A]
FICA0007,E,Company code additional Currency [SM30_V_T001A]
FICA0008,D,Text: Debitoren Kundenklassifizierung 
FICA0008,E,Text: Customer classification 
FICA0009,D,Text: Sachkontenstamm 
FICA0009,E,Text: G/L account 
FICA0010,D,Text: Geschaeftsbereich 
FICA0010,E,Text: Business area 
FICA0011,D,Text: Provinz 
FICA0011,E,Text: Region 
FICA0012,D,Text: Branchenbezeichnungen 
FICA0012,E,Text: Industry names 
FICA0013,D,Text: Sonderhauptbuchkennzeichen 
FICA0013,E,Text: Special G/L Indicator Names 
FICA_CXN5,D,Zuordnung Buchungskreise/Geschaeftsbereiche [CXN5]
FICA_CXN5,E,Assignment Company Codes / Business Areas [CXN5]
FICA_FAGL_ACTIVATION,D,Aktivierung Neue Hauptbuchhaltung [FAGL_ACTIVATION]
FICA_FAGL_ACTIVATION,E,Activation Flag new General Ledger [FAGL_ACTIVATION]
FICA_FB03,D,Belege Deb Kred Sako [FB03]
FICA_FB03,E,documents cust. vend. G/L acc. [FB03]
FICA_FB03L,D,Buchungsbeleg Detail [FB03L/ S_ALR_87009850 ]
FICA_FB03L,E,FI documents details [FB03L / S_ALR_87009850 ]
FICA_FBN1,D,Nummernkreisintervalle FI [FBN1]
FICA_FBN1,E,Number Ranges for FI [FBN1]
FICA_FSE3_1,D,Bilanzstruktur anzeigen [FSE3]
FICA_FSE3_1,E,Balance Version display [FSE3]
FICA_FSE3_2,D,Bilanzstruktur anzeigen [FSE3]
FICA_FSE3_2,E,Balance Version display [FSE3]
FICA_FTXA,D,Text: Steuerkennzeichen [FTXA/ S_ALR_87012365]
FICA_FTXA,E,Text: Tax code [FTXA / S_ALR_87012365]
FICA_OB13,D,Text: Kontenplan [OB13]
FICA_OB13,E,Text: Chart of account [OB13]
FICA_OB41,D,Text: Buchungsschluessel [OB41]
FICA_OB41,E,Text: Posting Key [OB41]
FICA_OB58_2,D,Text: Bilanzversion [OB58]
FICA_OB58_2,E,Text Balance Version Display [OB58]
FICA_OB58_3,D,Text Bilanzversion [OB58]
FICA_OB58_3,E,Text Balance Version Display [OB58]
FICA_OBA7,D,Text: FI Belegarten [OBA7]
FICA_OBA7,E,Text: FI document type [OBA7]
FICA_OBY6,D,Text: Buchungskreis [OBY6]
FICA_OBY6,E,Text: Company code [OBY6]
FICA_S_ALR_87009853,D,Kontenniederschrift aus kumulierter klassischer Kontenschreibung [S_ALR_87009853]
FICA_S_ALR_87009853,E,Account Details from Historical Accu. Balance Audit Trail [S_ALR_87009853]
FICA_S_ALR_87012365,D,Steuerinformationen Land Details [S_ALR_87012365]
FICA_S_ALR_87012365,E,Tax Information Country Details [S_ALR_87012365]
FICA_WVM7,D,Zuordnung EKOrgdaten zu Lieferant [WVM7]
FICA_WVM7,E,Assignment of_POrg. Data and Plant [WVM7]
FIGL0001,D,Kostenstelle anzeigen 
FIGL0001,E,Display cost center 
FIGL0002,D,Kostenarten anzeigen 
FIGL0002,E,Display cost element 
FIGL0004,D,General evaluations 
FIGL0004,E,General evaluations 
FIGL_FAGLB03,D,Sachkontobuchungen/ n.ausgegl. [F.01/FAGLB03/S_ALR_87012277]
FIGL_FAGLB03,E,G/L account postings / n.cleared [F.01 /FAGLB03 /S_ALR_87012277]
FIGL_FAGLB03_1,D,Hauptbuchkonten Verkehrszahlen NewGL [FAGLB03/ S_ALR_87100988/ S_ALR_87101168/ S_ALR_87100987/ S_ALR_87100990/ S_ALR_87012277 ]
FIGL_FAGLB03_1,E,G/L account balances NewGL [FAGLB03 / S_ALR_87100988 / S_ALR_87101168 / S_ALR_87100987 / S_ALR_87100990 / S_ALR_87012277 ]
FIGL_FAGLB03_2,D,Strukturierte Saldenliste [FAGLB03/ S_ALR_87100988/ S_ALR_87100987/ S_ALR_87100990]
FIGL_FAGLB03_2,E,Structured Account Balances [FAGLB03 / S_ALR_87100988 / S_ALR_87100987 / S_ALR_87100990]
FIGL_FBL3N_1,D,Sachkonten Einzelposten [FBL3N/ FAGLL03/ S_ALR_87012282/ S_ALR_87101001/ F.08]
FIGL_FBL3N_1,E,G/L account line items [FBL3N / FAGLL03 / S_ALR_87012282 / S_ALR_87101001 / F.08]
FIGL_FBL3N_2,D,Sachkonten ausgeglichene Posten [ FBL3N/ FAGLL03/ F.08]
FIGL_FBL3N_2,E,G/L account line item bal. [ FBL3N / FAGLL03 / F.08]
FIGL_FBL3N_3,D,Sachkonten offene Posten [ FBL3N/ FAGLL03/ F.08]
FIGL_FBL3N_3,E,G/L account line item open [ FBL3N / FAGLL03 / F.08]
FIGL_FBL3N_4,D,Sachkonten ausgeglichene Posten [FBL3N/ FAGLL03]
FIGL_FBL3N_4,E,G/L account line item balanced [FBL3N / FAGLL03]
FIGL_FS03,D,Sachkonten-Stammdaten [FS03/ FS00/ S_ALR_87012328/ S_ALR_87009866/ S_ALR_87100991 ]
FIGL_FS03,E,G/L account (main & company code) [FS03 / FS00 / S_ALR_87012328 / S_ALR_87009866 / S_ALR_87100991 ]
FIGL_FS04,D,Sachkonten-Stammdaten Aenderungen [FS04]
FIGL_FS04,E,G/L Account Changes [FS04]
FIGL_FS10N,D,Sachkonto Verkehrszahlen [FS10N]
FIGL_FS10N,E,G/L Account Balances [FS10N]
FIGL_FSP0,D,Sachkontenstamm (Kontenplan) [FSP0/ S_ALR_87012326]
FIGL_FSP0,E,G/L account master (chart of accounts) [FSP0 / S_ALR_87012326]
FIGL_KL03,D,Leistungsarten anzeigen [KL03/ KL13]
FIGL_KL03,E,Display activity type [KL03 / KL13]
FIGL_ME2K_1,D,Einkaufsbeleg / Bestellungen / WE/RE Saldenliste [ME2K / MB5S / ME2M / ME2L]
FIGL_ME2K_1,E,Purchasing doc/ account [ME2K / MB5S / ME2M / ME2L]
FIGL_ME2K_2,D,Einkaufsbeleg zur Kontierung [ME2K]
FIGL_ME2K_2,E,Purchasing doc/ account [ME2K]
FIGL_ME2K_3,D,Einkaufsbeleg zur Kontierung [ME2K]
FIGL_ME2K_3,E,Purchasing doc/ account [ME2K]
FIGL_OB58,D,Text: Bilanzversion [OB58]
FIGL_OB58,E,Text: Financial Statement Version [OB58]
FIGL_S_ALR_87009815,D,Hauptbuchkonten Verkehrszahlen [S_ALR_87009815/ S_ALR_87101168]
FIGL_S_ALR_87009815,E,G/L account balances [S_ALR_87009815 / S_ALR_87101168]
FIGL_S_ALR_87100988,D,Strukturierte Saldenliste Summe per Bilanzposition [S_ALR_87100988/ S_ALR_87100987]
FIGL_S_ALR_87100988,E,Structured Account Balances Sum per Balance Position [S_ALR_87100988 / S_ALR_87100987]
FIGL_S_ALR_87100988_1,D,Strukturierte Saldenliste Summe per Geschaeftsbereich [S_ALR_87100988/ S_ALR_87100987]
FIGL_S_ALR_87100988_1,E,Structured Account Balances Sum per Business Area [S_ALR_87100988 / S_ALR_87100987]
FI_COBK_3,D,Kostenrechnungsbeleg 
FI_COBK_3,E,CO document 
FI_FB03L,D,FI Buchungsbelege [FB03L/ S_ALR_87009850 ]
FI_FB03L,E,FI documents [FB03L / S_ALR_87009850 ]
FI_FB04,D,FI Buchungsbelege Belegaenderungen [FB04/ S_ALR_87101008]
FI_FB04,E,FI Documents Change History [FB04 / S_ALR_87101008]
FI_FBCJ,D,Kassenbuch [FBCJ]
FI_FBCJ,E,Cash Journal [FBCJ]
FI_FBCJC0,D,Kassenbuch Journal [FBCJC0]
FI_FBCJC0,E,Cash Journal [FBCJC0]
FI_FBCJC2,D,Kassenbuch Transaktionsnamen [FBCJC2]
FI_FBCJC2,E,Cash Journal Transaction Names [FBCJC2]
FI_FBD3,D,FI Dauerbuchungsbelege [FBD3]
FI_FBD3,E,Display recurring entry [FBD3]
FI_FBL5N1,D,Debitor Einzelposten [FBL5N / S_ALR_87012197/ S_ALR_87101067]
FI_FBL5N1,E,Cust. line item list [FBL5N / S_ALR_87012197 / S_ALR_87101067]
FI_FBL5N2,D,Debitor Einzelposten TEST [FBL5N / S_ALR_87012197]
FI_FBL5N2,E,Cust. line item list [FBL5N / S_ALR_87012197]
FI_FBL5N3,D,Deb. Ausgleichsbuchung [FBL5N]
FI_FBL5N3,E,Cust. clearance posting [FBL5N]
FI_FBL5N4,D,Deb. Gegenkonto [FBL5N]
FI_FBL5N4,E,Cust. offsetting account [FBL5N]
FI_FD10N,D,Debitor Salden / Kontenanalyse [FD10N/ FD11/ S_ALR_87009950/ S_ALR_87100989/ S_ALR_87101077/ S_ALR_87101078/ S_ALR_87101079]
FI_FD10N,E,Customer balances [FD10N / FD11 / S_ALR_87009950 / S_ALR_87100989 / S_ALR_87101077 / S_ALR_87101078 / S_ALR_87101079]
FI_FF_6,D,Kontenauszug [FF_6]
FI_FF_6,E,Account statement [FF_6]
FI_FI03,D,Bankenverzeichnis [FI03]
FI_FI03,E,Bank master record [FI03]
FI_FSP0,D,Sachkontenstamm (Kontenplan) [FSP0/ S_ALR_87012326]
FI_FSP0,E,G/L account master (chart of accounts) [FSP0 / S_ALR_87012326]
FI_OB58,D,Bilanz GuV Struktur [OB58]
FI_OB58,E,Financial statement version [OB58]
FI_RFBELJ00,D,Belegkompaktjournal [RFBELJ00/ S_ALR_87009825/ S_ALR_87101002]
FI_RFBELJ00,E,Compact document journal [RFBELJ00 / S_ALR_87009825 / S_ALR_87101002]
FI_RFUMSV00,D,Umsatzsteuerzahlen [RFUMSV00 / S_ALR_87012357 / S_ALR_87012359]
FI_RFUMSV00,E,Advance return for tax on sales purchases [RFUMSV00 / S_ALR_87012357 / S_ALR_87012359]
FI_S_AL0_96000497,D,Document Relationship Browser - Buchhaltungsbeleg [S_AL0_96000497]
FI_S_AL0_96000497,E,Document Relationship Browser - FI document [S_AL0_96000497]
FI_S_ALR_807012357,D,Umsatzsteuerzahlen Summen [S_ALR_807012357/ S_ALR_807012359]
FI_S_ALR_807012357,E,Tax return Sum [S_ALR_807012357 / S_ALR_807012359]
FI_S_ALR_87012326,D,Sachkontoliste [S_ALR_87012326]
FI_S_ALR_87012326,E,Chart of G/L accounts [S_ALR_87012326]
FI_S_ALR_87101140,D,Belege nur CPD-Daten [S_ALR_87101140/ S_ALR_87101141 ]
FI_S_ALR_87101140,E,Documents only CPD data [S_ALR_87101140 / S_ALR_87101141 ]
FI_XD03_1,D,Debitor-Kunden-Stammdaten [FD03/ XD03]
FI_XD03_1,E,Cust. master data [FD03 / XD03]
FI_XD03_2,D,Deb. Buchungskreis [XD03]
FI_XD03_2,E,Cust. company code [XD03]
GLPCA,D,EC-PCA: Ist-Einzelposten
GLPCA,E,EC-PCA: Actual Line Items
GLPCT,D,EC-PCA: Summentabelle
GLPCT,E,EC-PCA: Totals Table
GLT0,D,Sachkontenstamm Verkehrszahlen
GLT0,E,G/L account master record transaction figures
GLU1,E,G/L user table 1
HR0001,D,Pers./ Reiseprivilegien 
HR0001,E,Pers. / travel privileges 
HR0002,D,Personal Aufgabenueberwachung 
HR0002,E,Pers. / Monitoring of Tasks 
HR0003,D,Personal Steuerdaten PL 
HR0003,E,Pers. / Taxdata PL 
HR0004,D,VS-Wertarten 
HR0004,E,PC value types 
HR_PA0000,D,Personal Massnahmen 
HR_PA0000,E,Pers. actions 
HR_PA0001,D,Personal Organisatorische Zuordnung 
HR_PA0001,E,Pers. / org. assignment 
HR_PA0003,D,Personal Abrechnungsstatus 
HR_PA0003,E,Pers. / payroll status 
HR_PA0005,D,Personal Urlaubsanspruch 
HR_PA0005,E,Pers. / vacation entitlement 
HR_PA0006,D,Personal Anschriften 
HR_PA0006,E,Pers. / addresses 
HR_PA0007,D,Personal Arbeitszeit 
HR_PA0007,E,Pers. / planned working time 
HR_PA0008,D,Personal Basisbezuege 
HR_PA0008,E,Pers. / basic pay 
HR_PA0009,D,Personal Bankverbindung 
HR_PA0009,E,Pers. / bank details 
HR_PA0011,D,Personal Externer Transfer 
HR_PA0011,E,Pers:_External Transfer 
HR_PA0012,D,Personal: Steuerdaten D 
HR_PA0012,E,Pers: Taxdata GE 
HR_PA0014,D,Personal Wiederkehrende Be- u. Abzuege 
HR_PA0014,E,Pers. / recur. payments/ deds. 
HR_PA0015,D,Personal Ergaenzende Zahlung 
HR_PA0015,E,Pers. / add. payments 
HR_PA0016,D,Personal Vertragsbestandteile 
HR_PA0016,E,Pers. / contract elements 
HR_PA0017,D,Personal Reiseprivilegien 
HR_PA0017,E,Pers. / travel privileges 
HR_PA0021,D,Personal Familieninfo 
HR_PA0021,E,Pers. / family data 
HR_PA0022,D,Personal Ausbildung 
HR_PA0022,E,Pers. / education 
HR_PA0023,D,Personal Externe Taetigkeit 
HR_PA0023,E,Pers. / External Employment 
HR_PA0024,D,Personal Qualifikationen 
HR_PA0024,E,Pers. / qualifications 
HR_PA0031,D,Personal Referenzpersonalnummern 
HR_PA0031,E,Pers. / reference pers. nos. 
HR_PA0032,D,Personal Betriebsint.Vereinbarung 
HR_PA0032,E,Pers. / internal data 
HR_PA0034,D,Personal betriebliche Funktionen 
HR_PA0034,E,Pers. /Operational Functions 
HR_PA0035,D,Personal Belehrungen 
HR_PA0035,E,Pers. /Teachings 
HR_PA0036,D,Personal Sozialversicherung CH 
HR_PA0036,E,Pers. / social insurance CH 
HR_PA0037,D,Personal Versicherungen 
HR_PA0037,E,Pers. / Insurance 
HR_PA0038,D,Personal Steuerdaten CH 
HR_PA0038,E,Pers. / fiscal data 
HR_PA0040,D,Personal Leihgaben 
HR_PA0040,E,Pers. / objects on loan 
HR_PA0041,D,Personal Datumsangaben 
HR_PA0041,E,Pers. / date specifications 
HR_PA0045,D,Personal Darlehen 
HR_PA0045,E,Pers. / Loans 
HR_PA0050,D,Personal Zeiterfassung Info 
HR_PA0050,E,Pers. / Time Recording Info 
HR_PA0077,D,Personal weitere Daten 
HR_PA0077,E,Pers.data / additionals 
HR_PA0083,D,Personal Abgeltungen 
HR_PA0083,E,Pers. leave compensation 
HR_PA0105,D,Personal Kommunikation 
HR_PA0105,E,Pers. / Communication 
HR_PA0169,D,Personal Vermoegensbildungsplan 
HR_PA0169,E,Pers. Savings plan 
HR_PA0171,D,Personal Allg. ArbGebLeistInformation 
HR_PA0171,E,Pers. / gen. benefits info 
HR_PA0183,D,Personal Bonus 
HR_PA0183,E,Awards (SG) 
HR_PA0185,D,Personal Identifikation 
HR_PA0185,E,Pers. /Identity documents 
HR_PA0222,D,Personal Firmenwagen 
HR_PA0222,E,Company car (GB) 
HR_PA0278,D,Personal Pensionskasse Grunddaten 
HR_PA0278,E,Pension fund / basic data 
HR_PA0279,D,Personal Pensionskasse Individuelle Werte 
HR_PA0279,E,PF. individual values 
HR_PA0416,D,Personal Zeitkontingentabgeltung 
HR_PA0416,E,Pers. / Time Quota Compensation 
HR_PA0515,D,Personal SI Daten PL 
HR_PA0515,E,Pers. / SI Data PL 
HR_PA0516,D,Personal Zusaetzliche SI Daten PL 
HR_PA0516,E,Pers. / Additional SI Data PL 
HR_PA0900,D,Personal Vertriebsdaten 
HR_PA0900,E,Pers. / sales data 
HR_PA20,D,Personalstammdaten [PA20]
HR_PA20,E,Personal master data [PA20]
HR_PA2001,D,Zeiterfassung Abwesenheiten 
HR_PA2001,E,Time rec. / absences 
HR_PA2002,D,Zeiterfassung Anwesenheiten 
HR_PA2002,E,Time rec. / attendance 
HR_PA2003,D,Zeiterfassung Vertretung 
HR_PA2003,E,Time rec. / substitution 
HR_PA2004,D,Zeiterfassung Bereitschaft 
HR_PA2004,E,Time rec. / availability 
HR_PA2005,D,Zeiterfassung Mehrarbeit 
HR_PA2005,E,Time rec. / overtime 
HR_PA2006,D,Zeiterfassung Abwesenheitskontingente 
HR_PA2006,E,Time rec. / absence quotas 
HR_PA2007,D,Zeiterfassung Anwesenheitsgenehmigung 
HR_PA2007,E,Time rec. / attendance quotas 
HR_PA2010,D,Zeiterfassung Entgeltbelege 
HR_PA2010,E,Time rec. / empl.remuneration info 
HR_PA2012,D,Zeiterfassung Saldokorrekturen 
HR_PA2012,E,Time rec / time transfer spec. 
HR_PA2013,D,Zeiterfassung Kontingentkorr. 
HR_PA2013,E,Time rec. / quota corr. 
HR_PA9000,D,Variables SalÃ¤r CH 
HR_PA9000,E,Variable Salary CH 
HR_PA9001,D,HR Sarnia History 
HR_PA9001,E,HR sarnia history 
HR_PA9002,D,HR Illness/Injury Claim 
HR_PA9002,E,HR illness/ injury claim 
HR_PA9005,D,Personal: Freie Produkte 
HR_PA9005,E,Pers: Free Product 
HR_PA9100,D,Ausbildungsverpflichtung 
HR_PA9100,E,No text for language EN available 
HR_PCL1,D,Notes 
HR_PCL1,E,Notes 
HR_T001P,D,Personalbereich/-teilbereich 
HR_T001P,E,Personal area/ subarea 
HR_T500P,D,Personalbereiche 
HR_T500P,E,Personal areas 
HR_T503T,D,Text: Mitarbeiterkreis 
HR_T503T,E,Text: Employee subgroup 
HR_T510A,D,Tarifarten 
HR_T510A,E,Pay scale type data 
HR_T510G,D,Tarifgebiete/ Daten 
HR_T510G,E,Pay scale area 
HR_T512T,D,Text: Lohn-/Gehaltsarten 
HR_T512T,E,Text: Wage type 
HR_T513S,D,Text: Stelle 
HR_T513S,E,Text: Job key 
HR_T517T,D,Text: Schularten 
HR_T517T,E,Text: Education type 
HR_T517X,D,Text: Fachrichtungen 
HR_T517X,E,Text: Branch of study 
HR_T526,D,Sachbearbeiter 
HR_T526,E,Official in charge 
HR_T527X,D,Text: Org.Einheit 
HR_T527X,E,Text: Org. unit 
HR_T528T,D,Text: Planstelle 
HR_T528T,E,Text: Position 
HR_T529T,D,Text: Personalmassnahme 
HR_T529T,E,Text: Personal measure 
HR_T529U,D,Text: Statuswert 
HR_T529U,E,Text: Status value 
HR_T530E,D,Aenderungsgruende 
HR_T530E,E,Change reasons 
HR_T530F,D,Text: Aenderungsgrund 
HR_T530F,E,Text: Change reason 
HR_T530T,D,Text: Massnahmegrund 
